Long,Lat,
-122.36393,37.48819,0
-122.36393,37.48823,0
-122.36392,37.48829,0
-122.36391,37.48832,0
-122.36391,37.48834,0
-122.36388,37.4884,0
-122.36387,37.48844,0
-122.36383,37.4885,0
-122.36382,37.48851,0
-122.36378,37.48857,0
-122.36374,37.4886,0
-122.3637,37.48864,0
-122.36367,37.48866,0
-122.36364,37.48869,0
-122.3636,37.48871,0
-122.36355,37.48874,0
-122.36351,37.48877,0
-122.36339,37.48884,0
-122.36333,37.48888,0
-122.36327,37.48893,0
-122.36322,37.48897,0
-122.36318,37.48902,0
-122.36314,37.48906,0
-122.36312,37.4891,0
-122.3631,37.48913,0
-122.36307,37.48921,0
-122.36305,37.48927,0
-122.36305,37.48929,0
-122.36305,37.48932,0
-122.36305,37.48937,0
-122.36305,37.4894,0
-122.36305,37.48942,0
-122.36306,37.48946,0
-122.36306,37.48949,0
-122.36307,37.48952,0
-122.36308,37.48955,0
-122.3631,37.48959,0
-122.36311,37.48962,0
-122.36313,37.48964,0
-122.36316,37.48968,0
-122.36322,37.48975,0
-122.36326,37.48979,0
-122.36332,37.48983,0
-122.36337,37.48986,0
-122.3634,37.48988,0
-122.36344,37.48989,0
-122.36348,37.48991,0
-122.36352,37.48993,0
-122.36355,37.48993,0
-122.36361,37.48995,0
-122.36365,37.48996,0
-122.3637,37.48996,0
-122.36374,37.48997,0
-122.36379,37.48997,0
-122.36385,37.48997,0
-122.36392,37.48997,0
-122.36413,37.48996,0
-122.36434,37.48996,0
-122.36461,37.48995,0
-122.36487,37.48994,0
-122.36526,37.48993,0
-122.36564,37.48992,0
-122.36576,37.48992,0
-122.36581,37.48992,0
-122.36586,37.48992,0
-122.3659,37.48993,0
-122.36596,37.48994,0
-122.36602,37.48995,0
-122.36607,37.48997,0
-122.36611,37.48999,0
-122.36613,37.49,0
-122.36615,37.49001,0
-122.36619,37.49003,0
-122.36622,37.49005,0
-122.36625,37.49007,0
-122.3663,37.49011,0
-122.36633,37.49015,0
-122.36636,37.49018,0
-122.36638,37.49021,0
-122.36641,37.49026,0
-122.36644,37.49031,0
-122.36645,37.49035,0
-122.36646,37.49039,0
-122.36647,37.49044,0
-122.36647,37.49049,0
-122.36647,37.49051,0
-122.36646,37.49054,0
-122.36646,37.49057,0
-122.36644,37.49061,0
-122.36643,37.49065,0
-122.3664,37.49069,0
-122.36638,37.49073,0
-122.36635,37.49076,0
-122.36632,37.4908,0
-122.36631,37.4908,0
-122.36627,37.49084,0
-122.36623,37.49087,0
-122.36618,37.4909,0
-122.36611,37.49093,0
-122.36605,37.49096,0
-122.36601,37.49097,0
-122.36597,37.49099,0
-122.36593,37.491,0
-122.3659,37.491,0
-122.36584,37.49101,0
-122.36576,37.49102,0
-122.36567,37.49103,0
-122.36554,37.49104,0
-122.36544,37.49104,0
-122.36529,37.49105,0
-122.36522,37.49106,0
-122.36516,37.49107,0
-122.36507,37.49109,0
-122.36501,37.49111,0
-122.36495,37.49114,0
-122.36491,37.49116,0
-122.36486,37.49119,0
-122.36481,37.49122,0
-122.36479,37.49123,0
-122.36476,37.49125,0
-122.36473,37.49128,0
-122.36469,37.49132,0
-122.36466,37.49137,0
-122.36463,37.4914,0
-122.3646,37.49145,0
-122.36456,37.49152,0
-122.36455,37.49156,0
-122.36454,37.49159,0
-122.36453,37.49163,0
-122.36452,37.49167,0
-122.36452,37.49171,0
-122.36452,37.49175,0
-122.36452,37.49177,0
-122.36452,37.49183,0
-122.36454,37.49189,0
-122.36457,37.49197,0
-122.36459,37.49202,0
-122.36462,37.49206,0
-122.36464,37.4921,0
-122.36467,37.49213,0
-122.36469,37.49215,0
-122.36472,37.49218,0
-122.36474,37.49219,0
-122.36476,37.49221,0
-122.36479,37.49223,0
-122.36482,37.49225,0
-122.36485,37.49227,0
-122.36487,37.49228,0
-122.36491,37.4923,0
-122.36497,37.49233,0
-122.36506,37.49237,0
-122.36518,37.49241,0
-122.36545,37.49252,0
-122.36615,37.4928,0
-122.36626,37.49286,0
-122.36638,37.49291,0
-122.36647,37.49296,0
-122.36652,37.493,0
-122.36667,37.49309,0
-122.3668,37.49318,0
-122.36683,37.4932,0
-122.36697,37.49332,0
-122.36709,37.49343,0
-122.36711,37.49345,0
-122.36722,37.49355,0
-122.36735,37.49368,0
-122.36794,37.4943,0
-122.36796,37.49432,0
-122.36806,37.49441,0
-122.36814,37.4945,0
-122.36826,37.49463,0
-122.36837,37.49475,0
-122.36842,37.4948,0
-122.36845,37.49485,0
-122.3685,37.49493,0
-122.36856,37.4952,0
-122.36856,37.49527,0
-122.36856,37.49533,0
-122.36855,37.49538,0
-122.36854,37.49545,0
-122.36853,37.49549,0
-122.36851,37.49556,0
-122.36848,37.49564,0
-122.36846,37.49569,0
-122.36844,37.49573,0
